,,Return (Ann),Volatility,Sharpe,Sortino,Max DD
Goldilocks,Dynamic,0.16154321673929964,0.14829200808748216,0.803927106027199,1.125254755488181,-0.2863978083409004
Goldilocks,60/40,0.10311599999999814,0.09351695900122278,0.6499007426014078,0.9167215655732952,-0.17625714254015948
Goldilocks,Stocks,0.1680485526932835,0.14929509850335804,0.8420969163809359,1.1867571297995705,-0.28230173176077683
Goldilocks,Bonds,0.06395660743133945,0.07549313152175254,0.2869106769783251,0.40208161827768973,-0.1929426345586114
Reflation,Dynamic,0.049573225330761764,0.030775328322770957,0.3652140335567688,0.2128682298789514,-0.014755000000000008
Reflation,60/40,0.015991403340012245,0.10919526855342342,-0.20427583910972688,-0.24492725334811136,-0.2537190147691105
Reflation,Stocks,0.018387800732626868,0.17831444975764305,-0.11170738402029626,-0.12935462602293693,-0.3673356203343358
Reflation,Bonds,0.023560253841014286,0.07020554293487997,-0.20980604273678188,-0.28488261055399894,-0.17216933234449772
Stagflation,Dynamic,0.032606777131602364,0.04006634220730896,-0.3600325516766693,-0.0814101337171856,-0.09813557162176433
Stagflation,60/40,0.04809285131701289,0.09797012096796527,0.010895465234021172,0.015610272887923179,-0.328223570656325
Stagflation,Stocks,0.0239944782640706,0.16209957652968343,-0.14204995419710173,-0.1933664657290796,-0.5010878987357017
Stagflation,Bonds,0.0635144406569566,0.06824848594193544,0.24183227587837247,0.34571678377436976,-0.11664140475242643
Deflation,Dynamic,0.10269531409244706,0.08650882249173009,0.695525903046775,1.018803555119064,-0.15177808006264915
Deflation,60/40,0.13168724740740445,0.12395094941747684,0.7190833728993208,0.9609173958777931,-0.2481448062601332
Deflation,Stocks,0.16228899521081291,0.20113326886597882,0.5952077352170488,0.7695917993628152,-0.4508566557588221
Deflation,Bonds,0.10150467236467037,0.08622460152127323,0.6839975459602515,0.9983337574898478,-0.1517780800626495
