date,Dynamic Strategy,60/40 Benchmark,Stocks (S&P 500),Bonds (10Y)
1971,0.07509780626599061,-0.01851930021940018,0.01522511839777585,0.0090897455703709
1972,0.11480106217792252,0.08752406015008773,0.15632253322502865,0.02389798416159228
1973,0.1468447933057273,-0.11663502419736083,-0.1736563163323388,0.03531776535516751
1974,0.16692307692307717,-0.16987733463239596,-0.29717749552479455,0.03465407936878284
1975,-0.04845081854725963,0.1503301878640355,0.31548901277318087,0.03921860652530551
1976,0.3055308704780071,0.1749627386247785,0.1914915458726727,0.13091517272144482
1977,-0.013406351002452244,-0.07789674335389418,-0.11501726712114135,0.004131413775001924
1978,0.15945847284262715,0.016703923211737637,0.010630278900183532,0.004037735356858807
1979,0.06905615569152523,0.11980048424534151,0.12309017537032707,0.033309823060264865
1980,0.0738754381662241,0.08408925132692868,0.25773603909971166,-0.05372667375472229
1981,-0.017044777865261374,-0.07760303813938463,-0.0973121743254024,-0.05843291643892179
1982,0.49790741699687113,0.19845801415217545,0.1476179112109417,0.4145750162972688
1983,0.10332734343705119,0.10561396195149797,0.17270577208642712,0.019566456173287783
1984,0.22081585810525595,0.10650013195185326,0.014005361179483478,0.17563500130287335
1985,0.11477216071595664,0.22100734987156767,0.2633378018162902,0.26007858994099897
1986,0.09288073740588554,0.20123413233002196,0.1462010147689068,0.2082786785866637
1987,0.044178335680434166,-0.02052035018711873,0.02026818996740798,-0.015035609850742815
1988,0.0009558918183745213,0.08659390649638787,0.12401413972620046,0.09332588399357222
1989,0.017538937023557688,0.2509085573742946,0.2725078524159874,0.1975108363115723
1990,0.08890513104981612,-0.0026116437528180825,-0.06559450966347824,0.10145106361269596
1991,0.12725717622142563,0.21633732150350982,0.26306042877188784,0.17353611733157326
1992,0.09872548145085291,0.07405960141617052,0.044646669613303214,0.08067543234397845
1993,0.0939930405272249,0.08528078068993161,0.070546174135802,0.09011929706677413
1994,-0.04625592811675394,-0.04161770013778343,-0.01540130857217814,-0.048607825298142115
1995,0.10947623698946374,0.2893143329833978,0.34111580357903404,0.23413907575855153
1996,0.036556230466394,0.14094962641120867,0.20263878166509275,0.03563813713788888
1997,0.20668701538279555,0.21924587257455364,0.3100890099459135,0.10920962242693588
1998,0.09127776940399301,0.1572847781519895,0.2666937956039155,0.11188789103871466
1999,-0.018167357996674016,0.0912020914631424,0.1952515281774274,-0.05636931112670984
2000,0.08357584838716825,-0.001993580598721123,-0.10139140482920983,0.16112430405439615
2001,-0.0004935248654629465,-0.028161958466249137,-0.1304296814603254,0.05533933087874532
2002,-0.15080245745767507,-0.08427265628132008,-0.23365650512462677,0.16231250345009096
2003,0.043439512082281695,0.10296833808113393,0.2638101645339146,0.047737998251128566
2004,0.11048074313613454,0.07276109300496669,0.089932456406558,0.06494614721339298
2005,-0.014709187884820563,0.03504784434568542,0.030014523692247108,0.03606441241357872
2006,0.11156222610647126,0.1020209334173412,0.13618808199372023,0.03135107248240199
2007,0.12019448804634547,0.03565483754858634,0.03528750445744033,0.11672174760120857
2008,0.07891862635680513,-0.19757685570809658,-0.38486112896467617,0.1727247190669967
2009,0.03218519150171306,0.13714847466667668,0.23453948242961764,-0.09127807198473481
2010,0.023735809651211914,0.10545918933961218,0.12783561963712042,0.06287710779286826
2011,0.20345769654484358,0.043570307861964475,-3.165972894891844e-05,0.12338974360619925
2012,0.1617085475229696,0.07731539170025581,0.13405466026165014,0.013788781864588984
2013,0.10512053015106515,0.12324691799158694,0.29600879351166576,-0.024171963306112376
2014,0.013570589659723353,0.10800915149899382,0.11391109415473055,0.0703868002647614
2015,0.019890669382787607,0.0055509365088248774,-0.007262126658855617,-0.0016283929035476596
2016,0.06194277279308813,0.06490387338449977,0.09535117720693975,0.004344047602278467
2017,0.06632230102899861,0.10872775724492434,0.19420158938533727,0.011022020672344812
2018,0.10508187358978716,-0.028303141314017455,-0.06237098172452771,-0.0012331250736179467
2019,0.06080573672916523,0.21295184277530632,0.2887791769879242,0.0698045445380977
2020,0.18723782271387557,0.1309269831258908,0.16259100746208577,0.057174724582587766
2021,0.11734196402848451,0.1584557166996936,0.2689216341706968,-0.030828894528057593
2022,0.014598920696855533,-0.13531349962353967,-0.19443496398832916,-0.09867199973432428
2023,0.11481166042168622,0.17671584068593038,0.24230096816712687,0.04440485333732447
2024,0.017007383761407535,0.16136047481489735,0.2330870359834054,0.005714988451391845
